_Annual_J-D_1988_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  46   2  -89.00  -87.00        1.2049
  47   2  -87.00  -87.00        1.2049
  48   2  -85.00  -87.00        1.2049
  49   2  -83.00  -87.00        1.2049
  50   2  -81.00  -87.00        1.2049
  51   2  -79.00  -87.00        1.2049
  52   2  -77.00  -87.00        1.2049
  53   2  -75.00  -87.00        1.2049
  54   2  -73.00  -87.00        1.2049
  55   2  -71.00  -87.00        1.2049
  56   2  -69.00  -87.00        1.2049
  57   2  -67.00  -87.00        1.2049
  58   2  -65.00  -87.00        1.2049
  59   2  -63.00  -87.00        1.2049
  60   2  -61.00  -87.00        1.2049
  61   2  -59.00  -87.00        1.2049
  62   2  -57.00  -87.00        1.2049
  63   2  -55.00  -87.00        1.2049
  64   2  -53.00  -87.00        1.2049
  65   2  -51.00  -87.00        1.2049
  66   2  -49.00  -87.00        1.2049
  67   2  -47.00  -87.00        1.2049
  68   2  -45.00  -87.00        1.2049
  69   2  -43.00  -87.00        1.2049
  70   2  -41.00  -87.00        1.2049
  71   2  -39.00  -87.00        1.2049
  72   2  -37.00  -87.00        1.2049
  73   2  -35.00  -87.00        1.2049
  74   2  -33.00  -87.00        1.2049
  75   2  -31.00  -87.00        1.2049
  76   2  -29.00  -87.00        1.2049
  77   2  -27.00  -87.00        1.2049
  78   2  -25.00  -87.00        1.2049
  79   2  -23.00  -87.00        1.2049
  80   2  -21.00  -87.00        1.2049
  81   2  -19.00  -87.00        1.2049
  82   2  -17.00  -87.00        1.2049
  83   2  -15.00  -87.00        1.2049
  84   2  -13.00  -87.00        1.2049
  85   2  -11.00  -87.00        1.2049
  86   2   -9.00  -87.00        1.2049
  87   2   -7.00  -87.00        1.2049
  88   2   -5.00  -87.00        1.2049
  89   2   -3.00  -87.00        1.2049
  90   2   -1.00  -87.00        1.2049
  91   2    1.00  -87.00        1.2049
  92   2    3.00  -87.00        1.2049
  93   2    5.00  -87.00        1.2049
  94   2    7.00  -87.00        1.2049
  95   2    9.00  -87.00        1.2049
  96   2   11.00  -87.00        1.2049
  97   2   13.00  -87.00        1.2049
  98   2   15.00  -87.00        1.2049
  99   2   17.00  -87.00        1.2049
 100   2   19.00  -87.00        1.2049
 101   2   21.00  -87.00        1.2049
 102   2   23.00  -87.00        1.2049
 103   2   25.00  -87.00        1.2049
 104   2   27.00  -87.00        1.2049
 105   2   29.00  -87.00        1.2049
 106   2   31.00  -87.00        1.2049
 107   2   33.00  -87.00        1.2049
 108   2   35.00  -87.00        1.2049
 109   2   37.00  -87.00        1.2049
 110   2   39.00  -87.00        1.2049
 111   2   41.00  -87.00        1.2049
 112   2   43.00  -87.00        1.2049
 113   2   45.00  -87.00        1.2049
 114   2   47.00  -87.00        1.2049
 115   2   49.00  -87.00        1.2049
 116   2   51.00  -87.00        1.2049
 117   2   53.00  -87.00        1.2049
 118   2   55.00  -87.00        1.2049
 119   2   57.00  -87.00        1.2049
 120   2   59.00  -87.00        1.2049
 121   2   61.00  -87.00        1.2049
 122   2   63.00  -87.00        1.2049
 123   2   65.00  -87.00        1.2049
 124   2   67.00  -87.00        1.2049
 125   2   69.00  -87.00        1.2049
 126   2   71.00  -87.00        1.2049
 127   2   73.00  -87.00        1.2049
 128   2   75.00  -87.00        1.2049
 129   2   77.00  -87.00        1.2049
 130   2   79.00  -87.00        1.2049
 131   2   81.00  -87.00        1.2049
 132   2   83.00  -87.00        1.2049
 133   2   85.00  -87.00        1.2049
 134   2   87.00  -87.00        1.2049
 135   2   89.00  -87.00        1.2049
 136   2   91.00  -87.00        1.2049
 137   2   93.00  -87.00        1.2049
 138   2   95.00  -87.00        1.2049
 139   2   97.00  -87.00        1.2049
 140   2   99.00  -87.00        1.2049
 141   2  101.00  -87.00        1.2049
 142   2  103.00  -87.00        1.2049
 143   2  105.00  -87.00        1.2049
 144   2  107.00  -87.00        1.2049
 145   2  109.00  -87.00        1.2049
 146   2  111.00  -87.00        1.2049
 147   2  113.00  -87.00        1.2049
 148   2  115.00  -87.00        1.2049
 149   2  117.00  -87.00        1.2049
 150   2  119.00  -87.00        1.2049
 151   2  121.00  -87.00        1.2049
 152   2  123.00  -87.00        1.2049
 153   2  125.00  -87.00        1.2049
 154   2  127.00  -87.00        1.2049
 155   2  129.00  -87.00        1.2049
 156   2  131.00  -87.00        1.2049
 157   2  133.00  -87.00        1.2049
 158   2  135.00  -87.00        1.2049
 159   2  137.00  -87.00        1.2049
 160   2  139.00  -87.00        1.2049
 161   2  141.00  -87.00        1.2049
 162   2  143.00  -87.00        1.2049
 163   2  145.00  -87.00        1.2049
 164   2  147.00  -87.00        1.2049
 165   2  149.00  -87.00        1.2049
 166   2  151.00  -87.00        1.2049
 167   2  153.00  -87.00        1.2049
 168   2  155.00  -87.00        1.2049
 169   2  157.00  -87.00        1.2049
 170   2  159.00  -87.00        1.2049
 171   2  161.00  -87.00        1.2049
 172   2  163.00  -87.00        1.2049
 173   2  165.00  -87.00        1.2049
 174   2  167.00  -87.00        1.2049
 175   2  169.00  -87.00        1.2049
 176   2  171.00  -87.00        1.2049
 177   2  173.00  -87.00        1.2049
 178   2  175.00  -87.00        1.2049
 179   2  177.00  -87.00        1.2049
 180   2  179.00  -87.00        1.2049
   1   3 -179.00  -85.00        1.2049
   2   3 -177.00  -85.00        1.2049
   3   3 -175.00  -85.00        1.2049
   4   3 -173.00  -85.00        1.2049
   5   3 -171.00  -85.00        1.2049
   6   3 -169.00  -85.00        1.2049
   7   3 -167.00  -85.00        1.2049
   8   3 -165.00  -85.00        1.2049
   9   3 -163.00  -85.00        1.2049
  10   3 -161.00  -85.00        1.2049
  11   3 -159.00  -85.00        1.2049
  12   3 -157.00  -85.00        1.2049
  13   3 -155.00  -85.00        1.2049
  14   3 -153.00  -85.00        1.2049
  15   3 -151.00  -85.00        1.2049
  16   3 -149.00  -85.00        1.2049
  17   3 -147.00  -85.00        1.2049
  18   3 -145.00  -85.00        1.2049
